id,plant_id,feature_name,feature_value,measurement_date
1,1,Plant Height,76.68895837651155,2025-01-08 14:22:37.814500
2,1,Plant Height,40.53636035000726,2025-01-08 14:22:37.821882
3,1,Plant Height,64.52241128431739,2025-01-08 14:22:37.839610
4,1,Plant Height,42.482781286907,2025-01-08 14:22:37.845323
5,1,Plant Height,63.85274944304916,2025-01-08 14:22:37.851095
6,1,Plant Height,83.90911799485508,2025-01-08 14:22:37.856472
7,1,Plant Height,68.75164077935842,2025-01-08 14:22:37.861125
8,1,Plant Height,66.28314216089458,2025-01-08 14:22:37.866027
9,1,Plant Height,61.56515046303638,2025-01-08 14:22:37.870262
10,1,Plant Height,87.00923668316915,2025-01-08 14:22:37.874010
11,1,Plant Height,51.5821330813576,2025-01-08 14:22:37.890105
12,1,Plant Height,90.02758167780962,2025-01-08 14:22:37.895251
13,1,Plant Height,83.41089221582635,2025-01-08 14:22:37.900111
14,1,Plant Height,92.24666077173913,2025-01-08 14:22:37.904704
15,1,Plant Height,79.79435051322609,2025-01-08 14:22:37.907910
